Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
1700,7756,13104,866,-616,1966,22000,-3000,282000,1069317,
1860,7540,12848,804,-449,1862,22000,-3000,282000,1069329,
1964,7700,12828,933,-328,1877,22000,-3000,282000,1069331,
2144,7536,12904,826,-320,1824,22000,-3000,282000,1069334,
2304,8112,12804,958,77,1872,23000,-3000,282000,1069346,
2172,8148,12772,848,96,1871,23000,-3000,282000,1069348,
2212,8228,12940,904,249,1891,23000,-3000,282000,1069351,
2336,8808,13096,655,616,1801,23000,-4000,282000,1069363,
2288,8844,13124,728,705,1791,23000,-4000,282000,1069365,
2120,8836,13196,571,645,1730,23000,-4000,282000,1069368,
1872,8980,13144,419,471,1393,23000,-4000,282000,1069380,
1848,8912,13220,221,299,1346,23000,-4000,282000,1069383,
1908,8864,13300,315,271,1322,23000,-4000,282000,1069385,
1916,8824,13480,-71,-407,1105,23000,-4000,283000,1069397,
1856,8716,13556,27,-470,1087,23000,-4000,283000,1069400,
1888,8820,13532,-180,-624,1057,23000,-4000,283000,1069402,
2160,91,-262,30000,-3000,279000,0,0,0,1069402,
1520,10572,12592,-1416,-906,-33,31000,-3000,279000,1071155,
1456,10468,12588,-1436,-954,-98,31000,-3000,279000,1071157,
2120,8916,13884,-394,-1075,633,23000,-4000,283000,1069434,
2336,8944,14032,-495,-1081,607,23000,-4000,283000,1069436,
2864,8708,14056,-479,-708,397,23000,-4000,283000,1069449,
2812,8532,13808,-530,-610,362,23000,-4000,283000,1069451,
2708,8484,13888,-413,-518,310,23000,-4000,283000,1069453,
2236,8300,13928,-332,-150,262,23000,-4000,283000,1069466,
2476,8256,14120,-362,-124,229,23000,-4000,283000,1069468,
2432,8264,13940,-354,-52,257,23000,-4000,283000,1069470,
2548,8264,14384,-284,43,58,23000,-4000,283000,1069483,
2380,8288,14276,-225,134,30,23000,-4000,283000,1069485,
2340,8208,14448,-253,78,-63,23000,-4000,283000,1069488,
2068,7672,13996,-112,250,-244,23000,-4000,283000,1069500,
1852,7440,14056,-204,197,-285,23000,-4000,283000,1069502,
1832,7460,13956,-79,260,-259,23000,-4000,283000,1069505,
1952,7300,13772,-89,226,-209,23000,-4000,283000,1069517,
2088,7312,13736,84,326,-165,23000,-4000,283000,1069520,
2092,7356,13784,-31,313,-154,23000,-4000,283000,1069522,
2060,7924,13796,191,685,3,23000,-4000,283000,1069534,
2168,8008,13904,54,721,35,23000,-4000,283000,1069537,
2144,8164,13944,163,814,79,23000,-4000,283000,1069539,
2076,8108,13696,22,800,86,23000,-4000,283000,1069541,
1816,8192,13748,-4,807,222,23000,-4000,283000,1069554,
1756,8216,13844,-137,712,275,23000,-4000,283000,1069556,
1832,8036,13644,-99,713,262,23000,-4000,283000,1069558,
1840,7956,13872,-257,326,366,23000,-4000,283000,1069571,
1760,7996,13924,-242,239,325,23000,-4000,283000,1069573,
1692,7968,13944,-273,210,364,23000,-4000,283000,1069576,
1912,7936,13808,-326,-90,260,23000,-4000,283000,1069588,
2288,7996,13760,-273,-75,299,23000,-4000,283000,1069590,
2096,8040,13664,-328,-121,227,23000,-4000,283000,1069593,
2096,8116,13656,-203,-80,196,23000,-4000,283000,1069605,
2084,8224,13804,-284,-152,135,23000,-4000,283000,1069608,
2064,8184,13820,-222,-116,185,23000,-4000,283000,1069610,
2448,8196,13856,-324,-236,51,23000,-4000,283000,1069622,
2348,8220,13900,-224,-184,88,23000,-4000,283000,1069625,
2208,8232,13940,-301,-211,55,23000,-4000,283000,1069627,
2340,8440,14092,-163,58,183,23000,-4000,283000,1069639,
2436,8388,14108,-309,26,184,23000,-4000,283000,1069642,
2460,8456,14316,-193,110,209,23000,-4000,283000,1069644,
2196,8348,14228,-323,161,321,23000,-4000,283000,1069657,
2036,8272,14244,-214,165,305,23000,-4000,283000,1069659,
2004,8252,14240,-368,133,347,23000,-4000,283000,1069661,
2232,8104,14384,-254,137,307,23000,-4000,283000,1069674,
2272,8072,14396,-313,101,270,23000,-4000,283000,1069676,
2140,8116,14376,-214,105,259,23000,-4000,283000,1069678,
2240,8188,14308,-217,72,263,23000,-4000,283000,1069691,
2324,8316,14396,-140,102,183,23000,-4000,283000,1069693,
2352,8324,14396,-223,130,225,23000,-4000,283000,1069696,
2468,8580,14596,-194,1,135,23000,-4000,283000,1069708,
2168,8744,14688,-82,2,216,23000,-4000,283000,1069710,
2384,8684,14796,-149,-123,129,23000,-4000,283000,1069713,
2312,8936,14688,-91,-353,26,24000,-4000,283000,1069725,
2252,8772,14688,-211,-462,-42,24000,-5000,283000,1069727,
2236,8680,14880,-80,-412,-78,24000,-5000,283000,1069730,
2452,8344,14708,-71,-483,-450,24000,-5000,283000,1069742,
2564,8180,14660,76,-424,-474,24000,-5000,283000,1069745,
2608,8124,14704,-49,-458,-531,24000,-5000,283000,1069747,
