Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-2640,-3948,19,94,-22000,9000,0,0,0,381087,
-2728,-4044,15516,-648,128,44,-21000,10000,277000,381092,
-2620,-3848,15572,-750,116,0,0,0,0,381092,
-2500,-3884,15736,-620,215,38,-22000,10000,277000,381107,
-2492,-3928,15684,-730,171,-75,-22000,10000,277000,381175,
-2576,-4036,15796,-685,228,-43,-22000,10000,277000,381177,
-2912,-3556,15832,-531,-54,-160,-20000,10000,271000,405307,
-2984,-3552,1573252,-3988,15940,-423,381,65,-22000,9000,
-2916,-3608,15796,-457,73,-108,-20000,10000,271000,405339,
-2808,-3576,15836,-593,43,-108,-20000,10000,271000,405341,
-2652,-3568,15848,-442,139,-83,-20000,10000,271000,405344,
-2652,-3644,15780,-517,166,-76,-20000,10000,271000,405356,
-2828,-3576,1572,-1352,15892,-508,104,1,-13000,12000,
-2948,-1432,15796,-586,117,-17,-13000,12000,272000,422288,
-2924,-1372,15992,-496,96,-13,-13000,12000,272000,422136,
0,0,0,0,0,0,-13000,12000,272000,422136,
-2836,-3464,15668,-482,1,31,-20000,10000,271000,405424,
-2856,-3480,15684,-613,127,35,-20000,10000,271000,405427,
-2696,-3592,15508,-516,160,59,-20000,10000,271000,405429,
-2828,-3512,15488,-609,138,61,-20000,10000,271000,405441,
-2956,-3684,15648,-576,137,35,-20000,10000,271000,405444,
-2904,-3588,15640,-618,132,65,-20000,10000,271000,405446,
-2940,-3560,15672,-657,82,42,-20000,10000,271000,405459,
0,0,0,0,0,0,-20000,10000,271000,405459,
-2912,-3608,15572,-656,38,19,-20000,10000,271000,405463,
-2728,-3468,15784,-605,68,67,-20000,10000,271000,405476,
-2852,-3560,15720,-689,9,24,-21000,10000,271000,405478,
-2852,-3644,15728,-637,50,57,-21000,10000,271000,405480,
-2792,-3496,15652,-697,35,19,-21000,10000,271000,405493,
-2728,-3536,15484,-596,106,61,-21000,10000,271000,405495,
-2844,-3588,15456,-697,32,-12,-21000,10000,271000,405497,
