Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp
-17948,-1448,-796,-244,-2898,391,-136000,75000,329000,208246
-16660,-1060,-1424,261,-4704,739,-135000,75000,330000,208259
-16412,-1132,-1672,310,-4942,762,-135000,75000,330000,208261
-14984,-1260,-2552,248,-4199,581,-134000,75000,331000,208274
-14588,-1400,-2900,164,-3676,491,-134000,75000,331000,208276
-14372,-1360,-2960,87,-3141,395,-134000,76000,331000,208278
-14272,-1512,-3244,-585,-454,140,-134000,76000,331000,208291
-14408,-1432,-3144,-697,-186,141,-134000,76000,331000,208293
-14320,-1484,-3188,-778,-65,194,-134000,76000,331000,208295
-14272,-1156,-3060,-1005,73,81,-135000,76000,331000,208308
-14336,-1160,-2808,-1055,-21,22,-135000,76000,331000,208310
-14172,-1028,-3028,-1067,-162,-8,-135000,76000,331000,208312
-14376,-776,-2840,-937,-1295,-335,-134000,76000,331000,208325
-14468,-760,-3100,-869,-1498,-388,-134000,76000,331000,208327
-14168,-900,-3796,-795,-2072,-480,-134000,76000,332000,208340
-13960,-868,-3980,-813,-2064,-525,-134000,76000,332000,208342
-13904,-860,-4184,-840,-2029,-517,-134000,76000,332000,208344
-13136,-1080,-4256,-1105,-384,-723,-134000,76000,332000,208357
-13128,-1104,-4224,-1220,208,-766,-134000,76000,332000,208359
-13112,-1272,-4000,-1294,800,-846,-134000,76000,332000,208361
-13856,-1608,-2540,-1630,3589,-1181,-135000,75000,331000,208374
-13968,-1652,-2264,-1627,3843,-1252,-135000,75000,331000,208376
-16260,-1736,-272,-1197,3250,-1131,-136000,75000,331000,208389
-16616,-1764,-204,-1022,2838,-1025,-136000,75000,330000,208391
-16932,-1776,-52,-850,2387,-924,-136000,75000,330000,208393
-17956,-1840,-136,295,-594,-291,-135000,75000,331000,208406
-18132,-1736,-324,495,-1234,-166,-135000,75000,331000,208408
-18164,-1804,-748,692,-1949,7,-135000,75000,331000,208410
-16648,-1528,-2584,1424,-3635,644,-134000,76000,332000,208423
-16192,-1576,-2992,1441,-3325,689,-134000,76000,332000,208425
-15504,-1452,-3160,1375,-2830,694,-134000,76000,332000,208428
-14204,-1596,-3516,780,312,495,-134000,76000,332000,208440
-14024,-1512,-3440,657,726,412,-134000,76000,331000,208442
-13892,-1484,-3264,549,1051,371,-134000,76000,331000,208445
-14472,-1468,-2588,217,1564,121,-135000,76000,331000,208457
-14676,-1480,-2288,220,1500,81,-135000,76000,331000,208460
-14884,-1556,-2228,196,1392,52,-135000,76000,331000,208462
-16256,-1408,-1972,273,323,88,-135000,76000,330000,208474
-16428,-1432,-1892,343,33,142,-135000,76000,330000,208477
-16508,-1356,-1768,435,-307,217,-135000,76000,330000,208479
-16072,-1076,-2084,860,-2156,548,-135000,76000,331000,208492
-15952,-1216,-2144,893,-2437,569,-135000,76000,331000,208494
-15180,-1064,-3100,840,-2696,554,-134000,76000,331000,208506
-14980,-1060,-3260,783,-2483,519,-134000,76000,332000,208509
-14676,-1000,-3432,728,-2259,460,-134000,76000,332000,208511
-14104,-1040,-3452,168,-598,21,-134000,76000,332000,208524
-14128,-1176,-3508,58,-178,-29,-134000,76000,332000,208526
-14116,-1172,-3344,-52,221,-51,-134000,76000,332000,208528
-14928,-1164,-2232,-611,1921,-17,-135000,76000,331000,208541
-15108,-1080,-1952,-681,2099,-19,-135000,76000,331000,208543
-15244,-960,-1740,-713,2113,-15,-135000,76000,331000,208546
-16276,-800,-544,-416,579,22,-135000,76000,330000,208558
-16424,-676,-676,-297,-13,99,-135000,76000,330000,208560
-16680,-672,-620,-167,-674,167,-135000,76000,330000,208563
-15872,-284,-1576,554,-3374,412,-134000,76000,331000,208575
-15416,-180,-1824,672,-3494,384,-134000,77000,331000,208578
-15024,-236,-1924,690,-3483,366,-134000,77000,332000,208580
-13644,-452,-3140,208,-1567,53,-134000,77000,332000,208592
-13728,-488,-3032,54,-1060,7,-134000,77000,332000,208595
-13580,-612,-3156,-68,-498,19,-134000,77000,332000,208597
-14220,-1084,-2580,-829,2007,-130,-135000,77000,331000,208609
-14428,-1200,-2536,-926,2257,-152,-135000,77000,331000,208612
-14740,-1180,-2304,-1001,2373,-171,-135000,77000,331000,208614
-15596,-1296,-1296,-949,1700,-191,-135000,76000,330000,208626
