Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
2480,2564,15176,-65,446,-514,1000,-6000,2000,633343,
2332,2632,15188,-230,81,-488,1000,-6000,2000,633356,
2276,2660,15340,-181,111,-514,1000,-6000,2000,633358,
2164,2652,15272,-279,-46,-511,1000,-6000,2000,633360,
2192,2740,15400,-332,-198,-473,1000,-6000,1000,633373,
2072,2636,15184,-397,-194,-442,1000,-6000,1000,63337,
2208,2504,15360,-437,417,-291,100,6000,635416,0,
1948,2472,15632,-482,134,-300,1000,-6000,1000,633426,
1992,2576,15516,-452,119,-287,1000,-6000,1000,633428,
1828,2560,15656,-473,43,-271,1000,-6000,1000,633431,
2348,2668,15492,-441,-126,-190,1000,-6000,1000,633450,
2600,2620,15460,-416,165,-245,1000,-6000,1000,633463,
2492,2636,15432,-388,253,-302,1000,-6000,1000,633465,
2500,2692,15428,-429,363,1564,15804,-302,673,294,
136,1196,16252,-932,-450,-1109,-2000,0,354000,639131,
304,1708,16232,-937,286,-1020,-2000,0,354000,639112,
0,0,0,0,0,0,-2000,0,354000,639112,
276,3584,17904,-232,75,-60,1000,-6000,1000,633538,
2260,3716,18012,-268,-8,-46,1000,-6000,1000,633540,
1888,3564,19720,596,745,-568,2000,-6000,1000,633577,
1296,3752,20024,1064,1181,-903,2000,-6000,1000,633589,
1340,3684,20052,1223,1371,-942,2000,-6000,1000,633592,
1160,3728,20324,1244,1376,-988,2000,-6000,10000,639318,
512,3852,19996,1886,2031,-1218,2000,-5000,1000,633609,
264,15880,-555,329,381,-2000,0,354000,639340,0,
-672,3832,19808,2871,3039,-1183,3000,-5000,1000,633626,
-720,3868,19660,2947,3194,-1114,3000,-5000,1000,633628,
-1680,3712,18648,3702,4013,-603,3000,-4000,1000,633643,
0,0,0,0,0,0,3000,-4000,1000,633643,
-2860,3304,17064,4539,4853,-18,4000,-4000,1000,633658,
-2960,3396,16984,4614,4931,68,4000,-4000,172,-412,
-3512,3336,16536,4888,5136,298,4000,-3000,1000,633665,
-6644,3580,12080,5365,4390,3151,6000,-2000,1000,633699,
-7360,3232,10716,5034,3565,4459,6000,-1000,2000,633711,
-7540,3100,10160,4903,3296,4982,6000,-1000,2000,633716,
-7744,2736,8840332,15832,-483,136,-498,-2000,0,354000,
-7828,2588,8388,4411,2270,7025,7000,-1000,3000,633733,
-7884,1900,6632,3493,1369,9424,7000,0,4000,633752,
-7716,1188,5392,2801,1101,10951,8000,0,5000,633765,
-7740,1036,5172,2702,1029,11278,8000,0,5000,633767,
-7564,928,4708,2484,1038,11548,8000,0,6000,63354000,
-7216,-108,3392,1527,1087,13337,8000,0,7000,633784,
-7196,-388,3204,1469,1153,13631,8000,0,7000,633787,
